id;code;account_entity_name;description;opening_balance;closing_balance;created_at
1;20597;reboot next-generation;Corners global Pants;68376;45627;2020-09-19T11:41:45
2;49543;Auto Loan Account Indiana;Towels withdrawal;49629;94772;2020-09-19T15:36:26
3;97143;Granite;Beauty global;64585;15680;2020-09-19T01:41:35
4;96249;Fantastic Bike Berkshire;Mouse transmitting Metal;15725;30523;2020-09-18T22:26:50
5;94418;matrix backing up Metal;mindshare Solutions;43910;45604;2020-09-18T21:18:15
6;95476;reboot Front-line;purple Landing Integration;52305;66755;2020-09-18T22:15:52
7;82686;zero administration;Latvian Lats Books calculating;86074;28860;2020-09-19T15:37:56
8;43551;Front-line virtual;deposit facilitate;9835;68068;2020-09-19T10:34:30
9;94920;Balboa US Dollar Industrial;intuitive benchmark Movies;49058;61839;2020-09-18T17:26:33
10;81587;interfaces Guatemala;SMTP web-enabled;38044;74238;2020-09-18T22:36:15
