id;trans_ammount;trans_date;trans_type;entry_date
1;38081;2020-09-18;CREDIT;2020-09-19T10:22:24
2;28693;2020-09-19;CREDIT;2020-09-18T18:50:18
3;79130;2020-09-18;DEBIT;2020-09-19T09:46:42
4;55545;2020-09-19;CREDIT;2020-09-19T06:24:45
5;70898;2020-09-19;CREDIT;2020-09-18T22:53:42
6;17009;2020-09-18;DEBIT;2020-09-19T06:54:31
7;11119;2020-09-18;DEBIT;2020-09-18T16:23:48
8;79939;2020-09-19;DEBIT;2020-09-18T17:10:40
9;83;2020-09-19;DEBIT;2020-09-19T06:43:22
10;86157;2020-09-18;CREDIT;2020-09-19T09:09:56
